feature,importance
num__FUELCONSUMPTION_COMB,90.85448614200759
cat__FUELTYPE_E,87.93513113554835
cat__FUELTYPE_D,51.549002073463896
num__FUELCONSUMPTION_CITY,24.005845596633115
cat__FUELTYPE_Z,18.48131586501901
cat__FUELTYPE_X,17.90481319702557
num__FUELCONSUMPTION_COMB_MPG,14.12947318375369
cat__VEHICLECLASS_VAN - PASSENGER,11.828735714111247
cat__MAKE_LAMBORGHINI,9.979112118416776
cat__MAKE_ROLLS-ROYCE,9.795628876987118
num__FUELCONSUMPTION_HWY,9.503957302499195
cat__MAKE_MASERATI,8.775033549789953
cat__VEHICLECLASS_VAN - CARGO,7.696658929813135
cat__TRANSMISSION_A4,7.473560667885145
cat__MAKE_INFINITI,5.687674482718534
